100,2505.000000
1100,22747.500000
2100,39420.000000
3100,65685.000000
4100,91495.000000
5100,112425.000000
6100,124960.000000
7100,166597.500000
8100,183852.500000
9100,205290.000000
10100,248930.000000
11100,259662.500000
12100,282755.000000
13100,1902020.000000
14100,2749517.500000
15100,2277270.000000
16100,2655750.000000
17100,2896322.500000
18100,2496977.500000
19100,3435735.000000
20100,3728315.000000
21100,3990197.500000
22100,4083667.500000
23100,4387910.000000
24100,4431087.500000
25100,4313922.500000
26100,5083347.500000
27100,5367812.500000
28100,5903020.000000
29100,6115685.000000
30100,6524147.500000
31100,7010050.000000
32100,7536042.500000
33100,8342735.000000
34100,9117395.000000
35100,9384047.500000
36100,9439652.500000
37100,9723770.000000
38100,10470387.500000
39100,11109955.000000
40100,12029445.000000
41100,11496970.000000
42100,12356090.000000
43100,13419545.000000
44100,13689437.500000
45100,14178610.000000
46100,14778340.000000
47100,14280712.500000
48100,14179430.000000
49100,15879855.000000
