100,302.500000
1100,57502.500000
2100,132210.000000
3100,256062.500000
4100,323127.500000
5100,371582.500000
6100,444525.000000
7100,563947.500000
8100,617020.000000
9100,684905.000000
10100,763157.500000
11100,821247.500000
12100,786267.500000
13100,1110962.500000
14100,1101697.500000
15100,1224655.000000
16100,1275032.500000
17100,1273755.000000
18100,1616712.500000
19100,1586557.500000
20100,1655147.500000
21100,1820220.000000
22100,1931400.000000
23100,2316665.000000
24100,2280462.500000
25100,2430890.000000
26100,2539967.500000
27100,2567535.000000
28100,3031940.000000
29100,3108565.000000
30100,3195005.000000
31100,3157592.500000
32100,3216212.500000
33100,3451437.500000
34100,3366052.500000
35100,3424577.500000
36100,2556275.000000
37100,3094740.000000
38100,3594240.000000
39100,3288492.500000
40100,3379200.000000
41100,4148092.500000
42100,3716130.000000
43100,3995810.000000
44100,4059947.500000
45100,4355782.500000
46100,4053927.500000
47100,4419570.000000
48100,5137060.000000
49100,4625455.000000
