100,33890.000000
2100,577840.000000
4100,1614490.000000
6100,4010950.000000
8100,6940220.000000
10100,11457020.000000
12100,16011580.000000
14100,21908770.000000
16100,29564280.000000
18100,38162320.000000
20100,49037030.000000
22100,61456600.000000
24100,75248300.000000
26100,91227870.000000
28100,109185320.000000
30100,128635810.000000
32100,152839100.000000
34100,219001010.000000
36100,204585340.000000
38100,232112580.000000
40100,263714910.000000
42100,296364670.000000
44100,335827900.000000
46100,378175060.000000
48100,415197800.000000
