100,416.000000
1100,1112.000000
2100,2090.000000
3100,3134.000000
4100,4228.000000
5100,7852.000000
6100,10376.000000
7100,12888.000000
8100,9822.000000
9100,13640.000000
10100,14880.000000
11100,17466.000000
12100,19104.000000
13100,27138.000000
14100,22476.000000
15100,21632.000000
16100,22658.000000
17100,25028.000000
18100,33090.000000
19100,29118.000000
20100,25380.000000
21100,36822.000000
22100,33804.000000
23100,35428.000000
24100,38216.000000
25100,34578.000000
26100,33464.000000
27100,42522.000000
28100,45024.000000
29100,48154.000000
30100,48660.000000
31100,44558.000000
32100,48424.000000
33100,48386.000000
34100,53042.000000
35100,50998.000000
36100,56016.000000
37100,57348.000000
38100,65830.000000
39100,56338.000000
40100,57056.000000
41100,61350.000000
42100,62802.000000
43100,65956.000000
44100,62942.000000
45100,61490.000000
46100,75100.000000
47100,69488.000000
48100,72834.000000
49100,84018.000000
