100,91800.000000
1100,646500.000000
2100,551400.000000
3100,334300.000000
4100,565400.000000
5100,1047000.000000
6100,1310800.000000
7100,1470000.000000
8100,2048000.000000
9100,2920700.000000
10100,3557400.000000
11100,4240800.000000
12100,5284100.000000
13100,6340600.000000
14100,7295100.000000
15100,8812000.000000
16100,106702000.000000
17100,123833000.000000
18100,123609700.000000
19100,110392300.000000
20100,171662600.000000
21100,188794000.000000
22100,106760600.000000
23100,188703900.000000
24100,252595100.000000
25100,236771900.000000
26100,518068500.000000
27100,295701500.000000
28100,248028900.000000
29100,330188800.000000
30100,345521100.000000
31100,335043400.000000
32100,400600100.000000
33100,534009900.000000
34100,591923900.000000
35100,443966600.000000
36100,469481600.000000
37100,643629900.000000
38100,531279500.000000
39100,593275000.000000
40100,623367300.000000
41100,595641500.000000
42100,643405500.000000
43100,722057000.000000
44100,711683600.000000
45100,687751900.000000
46100,698127800.000000
47100,892368100.000000
48100,798534400.000000
49100,708130100.000000
